id,yearly_income,total_spent,spending_ratio,spending_rank
247,54587,114110.49,209.04,101
754,32817,67659.09,206.17,102
1330,35404,72753.31,205.49,103
1969,44690,91759.41,205.32,104
327,36843,75624.98,205.26,105
733,53138,108855.78,204.85,106
1129,34449,70539.14,204.76,107
592,23993,48998.75,204.22,108
1424,15348,31309.1,203.99,109
668,16342,33127.75,202.72,110
868,31046,62682.38,201.9,111
1989,67886,136629.02,201.26,112
1103,25723,51638.59,200.75,113
1687,40189,80589.17,200.53,114
77,51110,102256.43,200.07,115
1818,41843,83525.48,199.62,116
1662,49967,99564.45,199.26,117
248,13596,27088.12,199.24,118
1169,61901,123157.87,198.96,119
865,37786,74712.27,197.72,120
1274,49464,97043.85,196.19,121
373,21397,41972.9,196.16,122
985,51654,101122.69,195.77,123
430,53350,104335.75,195.57,124
1520,47213,92162.21,195.21,125
871,22650,44155.8,194.95,126
1843,38761,75364.4,194.43,127
932,34172,66293.81,194,128
1026,17016,32928.16,193.51,129
1096,41379,79932.69,193.17,130
1243,34884,66984.31,192.02,131
369,51499,98651.5,191.56,132
716,26511,50512.69,190.53,133
1384,23011,43658.92,189.73,134
1842,31373,59017.1,188.11,135
782,37169,69749.37,187.65,136
1237,32150,60327.5,187.64,137
652,22726,42628.56,187.58,138
1639,49595,92916.91,187.35,139
363,48686,90751.34,186.4,140
1253,58749,109467.65,186.33,141
1443,35016,65146.82,186.05,142
909,49023,91179.01,185.99,143
1379,34408,63927.87,185.79,144
1190,44383,82335.7,185.51,145
1591,33717,62468.59,185.27,146
1391,51196,94631.82,184.84,147
641,37556,69367.19,184.7,148
921,54013,99710.33,184.6,149
1871,16611,30606.61,184.26,150
1063,37898,69596.13,183.64,151
1313,30172,55363.19,183.49,152
1563,22583,41160.02,182.26,153
62,22290,40381.24,181.16,154
1341,30349,54841.38,180.7,155
457,36324,65250.07,179.63,156
75,22326,40078.36,179.51,157
256,22850,40889.49,178.95,158
1302,28988,51842.7,178.84,159
208,67747,120752.25,178.24,160
171,49577,88269.97,178.05,161
60,34057,60617.69,177.99,162
377,39110,69426.47,177.52,163
1812,50978,90358.23,177.25,164
27,23821,42153.13,176.96,165
319,28357,50154.85,176.87,166
997,54963,96864.75,176.24,167
1022,35876,63154.85,176.04,168
155,9678,17011.53,175.78,169
135,38088,66707.81,175.14,170
872,31505,54871.8,174.17,171
432,26546,46224.38,174.13,172
1104,40141,69847.78,174.01,173
994,9795,17023.33,173.8,174
563,49531,85941.16,173.51,175
68,41997,72587.18,172.84,176
1058,35196,60678.37,172.4,177
154,37468,64507.5,172.17,178
711,40894,70279.25,171.86,179
356,41420,71098.46,171.65,180
84,25748,44185.1,171.61,181
141,23082,39501.83,171.14,182
1130,44355,75617.69,170.48,183
1209,63815,108712.15,170.36,184
1758,22556,38347.04,170.01,185
1081,50666,86010.06,169.76,186
1759,33279,56288.74,169.14,187
53,39700,67079.11,168.97,188
1936,35685,60265.64,168.88,189
502,36440,61518.11,168.82,190
1915,52062,87848,168.74,191
1560,18452,31065.09,168.36,192
1314,39404,66223.81,168.06,193
1699,52929,88796.25,167.76,194
142,51788,86843.65,167.69,195
1717,43070,72181.23,167.59,196
1955,28134,47076.91,167.33,197
460,40957,68525.23,167.31,198
161,23469,39230.5,167.16,199
1269,36335,60714.78,167.1,200
1323,31414,52141.04,165.98,201
1733,26130,43325.65,165.81,202
615,44766,73904.43,165.09,203
1127,35590,58668.1,164.84,204
1540,44839,73837.43,164.67,205
602,34437,56485.46,164.03,206
828,35906,58682.45,163.43,207
1910,35868,57992,161.68,208
877,34317,55221.26,160.92,209
1909,26510,42645.48,160.87,210
316,39871,63812.25,160.05,211
252,34985,55955.14,159.94,212
456,34947,55894.72,159.94,212
996,40194,64222.42,159.78,214
1807,52065,83157.59,159.72,215
1356,26676,42606.66,159.72,215
81,35560,56707.56,159.47,217
376,57975,92367.49,159.32,218
987,61532,97729.61,158.83,219
820,41902,66326.71,158.29,220
362,48710,77027.55,158.13,221
364,39809,62560.32,157.15,222
672,23967,37561.18,156.72,223
34,51854,81203.98,156.6,224
470,28553,44510.33,155.89,225
401,28644,44645.16,155.86,226
1442,30432,47114.82,154.82,227
1226,36860,57019.48,154.69,228
1224,53464,82636.19,154.56,229
614,16430,25364.49,154.38,230
1644,31943,49265.7,154.23,231
1487,80464,123842.06,153.91,232
906,21154,32372.47,153.03,233
1448,38539,58613.54,152.09,234
1966,31499,47712.25,151.47,235
1576,36764,55558.4,151.12,236
580,36857,55636.6,150.95,237
1629,29422,44393.39,150.89,238
87,24155,36396.18,150.68,239
858,30774,46356.7,150.64,240
565,43598,65658.46,150.6,241
1837,24947,37555.62,150.54,242
1880,31579,47388.99,150.06,243
152,49335,73850.8,149.69,244
1765,32126,48076.74,149.65,245
442,48600,72626.24,149.44,246
1106,20783,31040.03,149.35,247
1558,51330,76471.16,148.98,248
476,41473,61725.13,148.83,249
48,16542,24578.01,148.58,250
825,59696,88466.05,148.19,251
1997,38800,57458.73,148.09,252
351,17150,25366.18,147.91,253
1444,66885,98837.05,147.77,254
1324,38872,57369.64,147.59,255
1811,82009,120701.31,147.18,256
1855,31287,45904.46,146.72,257
1559,58846,86272.77,146.61,258
1195,40696,59642.79,146.56,259
1053,55571,81442.83,146.56,259
1100,59815,87512.27,146.3,261
1453,36122,52543.09,145.46,262
704,112695,163577.5,145.15,263
1727,48762,70373.98,144.32,264
1019,29928,43184.01,144.29,265
371,92368,132871.22,143.85,266
804,30252,43424.79,143.54,267
1464,49569,71103.88,143.44,268
852,40156,57449.19,143.07,269
1020,54122,77392.51,143,270
1677,33178,47350.11,142.72,271
1515,30457,43439.8,142.63,272
844,18149,25885.57,142.63,272
39,61740,88025.92,142.58,274
1168,109673,155956.78,142.2,275
1222,28738,40855.67,142.17,276
957,37789,53530.95,141.66,277
257,31070,43837.36,141.09,278
845,36710,51762.51,141,279
16,22158,31237.85,140.98,280
1917,58503,82276.84,140.64,281
1755,28269,39754.15,140.63,282
59,25066,35196.74,140.42,283
1703,49169,69020.43,140.37,284
746,30288,42337.37,139.78,285
1604,31308,43761.58,139.78,285
323,26696,37296.34,139.71,287
976,62669,87541.75,139.69,288
566,46244,64591.2,139.67,289
764,31066,43336.19,139.5,290
250,34671,48316.79,139.36,291
386,49967,69603.99,139.3,292
1719,23217,32328.77,139.25,293
1288,38059,52945.95,139.12,294
157,32847,45694.58,139.11,295
89,30217,41982.38,138.94,296
1830,32418,44868.58,138.41,297
1904,30983,42874.18,138.38,298
1902,32522,44835.38,137.86,299
1430,33642,46286.87,137.59,300
1567,40576,55691.79,137.25,301
241,30605,42001.4,137.24,302
291,40407,55267.54,136.78,303
659,32583,44516.94,136.63,304
487,55059,75152.4,136.49,305
1877,70673,96444.92,136.47,306
254,67589,91979.32,136.09,307
506,52841,71880.86,136.03,308
1412,54166,73562.47,135.81,309
5,20614,27973.31,135.7,310
317,19199,26021.8,135.54,311
879,22714,30785.6,135.54,311
860,62791,85036.33,135.43,313
328,36323,48935.63,134.72,314
1817,73920,99567.66,134.7,315
564,42411,56995.88,134.39,316
354,31942,42804.75,134.01,317
47,25434,33709.89,132.54,318
33,38692,51212.03,132.36,319
1060,21547,28516.09,132.34,320
275,76288,100742.37,132.06,321
368,42806,56506.3,132.01,322
1772,50163,66195.7,131.96,323
1276,41793,55111.09,131.87,324
667,41763,54998.65,131.69,325
177,58248,76534.64,131.39,326
194,30681,40206.29,131.05,327
530,18100,23688.01,130.87,328
1207,56368,73567.37,130.51,329
757,46232,60314.98,130.46,330
461,65403,85046,130.03,331
472,46039,59782.14,129.85,332
38,40006,51915.48,129.77,333
425,59482,77164.28,129.73,334
1034,55569,71983.57,129.54,335
20,23371,30202.14,129.23,336
1568,42976,55515.94,129.18,337
1369,35854,46203.37,128.87,338
1398,70862,91287.93,128.82,339
1913,31121,40045.69,128.68,340
1535,33311,42770.66,128.4,341
1291,34869,44721.99,128.26,342
1459,31369,40174.87,128.07,343
1300,23092,29570.45,128.05,344
1863,44124,56464.96,127.97,345
1534,80794,102900.81,127.36,346
1416,48750,62083.59,127.35,347
1242,30509,38821.96,127.25,348
459,25257,32088.65,127.05,349
1787,58278,73886.56,126.78,350
554,53357,67641.49,126.77,351
1941,38609,48942.31,126.76,352
1736,45789,57968.01,126.6,353
1296,46683,59081.73,126.56,354
1196,34895,44157.25,126.54,355
1405,48755,61565.9,126.28,356
1285,65298,82426.03,126.23,357
514,32295,40603.42,125.73,358
1466,35933,45145.36,125.64,359
280,44585,55902.48,125.38,360
1073,35264,44181.34,125.29,361
1541,37422,46711.94,124.82,362
433,31957,39868.84,124.76,363
1171,39214,48881.87,124.65,364
989,113514,141474.6,124.63,365
421,45876,57152.41,124.58,366
273,37415,46580.02,124.5,367
94,36760,45636.25,124.15,368
1284,39947,49573.52,124.1,369
575,26476,32835.12,124.02,370
1497,35553,44077.01,123.98,371
729,24884,30823.66,123.87,372
452,63356,78473.08,123.86,373
884,42812,52997.16,123.79,374
1217,44992,55672.26,123.74,375
639,37645,46488.53,123.49,376
402,43954,54259.21,123.45,377
1827,46341,57172.03,123.37,378
1238,96661,119253.39,123.37,378
1256,56248,69361.06,123.31,380
1267,31912,39343.98,123.29,381
1370,52908,65184.95,123.2,382
1078,57576,70911.74,123.16,383
571,36711,45167.15,123.03,384
1176,57348,70534.59,122.99,385
185,30942,37984.18,122.76,386
859,32531,39923.87,122.73,387
1668,56099,68846.23,122.72,388
113,39003,47841.46,122.66,389
419,33540,41099.84,122.54,390
973,25051,30621.58,122.24,391
138,32770,40019.46,122.12,392
658,52630,64174.81,121.94,393
1684,27861,33966.7,121.91,394
1964,38637,46993.37,121.63,395
1972,13089,15915.5,121.59,396
176,52172,63359.84,121.44,397
705,79870,96951.46,121.39,398
1626,60292,73141.32,121.31,399
1449,28104,33996.13,120.97,400
1075,51500,62250.21,120.87,401
1385,82298,99242.36,120.59,402
918,29194,35206.34,120.59,402
1286,61578,74163.8,120.44,404
552,52538,63249.22,120.39,405
1194,38041,45773.53,120.33,406
1498,50790,61090.19,120.28,407
1475,42306,50759.21,119.98,408
128,31377,37582.64,119.78,409
1102,94733,113362.94,119.67,410
760,37558,44871.7,119.47,411
1072,40017,47801.78,119.45,412
379,43496,51926.63,119.38,413
1383,59938,71505.01,119.3,414
1561,51014,60763.98,119.11,415
1725,42652,50699.75,118.87,416
428,56486,67113.27,118.81,417
1789,38527,45713.85,118.65,418
1921,32064,37982.91,118.46,419
1533,49412,58508.59,118.41,420
795,75918,89683.47,118.13,421
1294,59114,69750.88,117.99,422
121,45419,53483.96,117.76,423
1378,40810,47979.14,117.57,424
1221,30747,36088.96,117.37,425
1613,44134,51772.46,117.31,426
1141,27266,31963.17,117.23,427
118,31533,36959.69,117.21,428
1046,36715,42880.36,116.79,429
738,63974,74676.66,116.73,430
209,29206,34084.35,116.7,431
1813,56350,65613.48,116.44,432
1926,26574,30933.48,116.41,433
629,57513,66913.48,116.34,434
801,23175,26934.4,116.22,435
891,34854,40494.32,116.18,436
165,107683,124920.65,116.01,437
1852,65357,75663.81,115.77,438
1521,19581,22663.77,115.74,439
1976,56897,65712.46,115.49,440
92,31145,35970.68,115.49,440
1393,34460,39685.68,115.16,442
1166,39898,45762.55,114.7,443
846,67761,77502.51,114.38,444
234,37623,42999.16,114.29,445
1080,29413,33604.29,114.25,446
1774,42129,48027.58,114,447
1901,33728,38418.52,113.91,448
951,26664,30332.43,113.76,449
1028,81122,91947.21,113.34,450
538,30265,34219.2,113.07,451
213,55172,62358.24,113.03,452
702,71103,80230.56,112.84,453
79,29164,32785.19,112.42,454
474,80957,91011.99,112.42,454
1552,45450,51065.78,112.36,456
78,25205,28306.99,112.31,457
1050,35938,40323.25,112.2,458
37,34690,38806.4,111.87,459
1995,39206,43828.39,111.79,460
329,36724,40992,111.62,461
570,32245,35887.62,111.3,462
1433,48060,53245.75,110.79,463
977,22873,25329.56,110.74,464
942,59139,65452.8,110.68,465
1605,39336,43476.23,110.53,466
1041,32522,35876.13,110.31,467
231,36270,39957.32,110.17,468
1569,39082,42835.93,109.61,469
1777,62432,68173.7,109.2,470
1579,28594,31113.04,108.81,471
1825,45754,49700.15,108.62,472
1495,63433,68767.94,108.41,473
1823,65362,70850.12,108.4,474
1750,70711,76572.28,108.29,475
585,41483,44847.92,108.11,476
1082,33934,36658.67,108.03,477
556,36405,39305.68,107.97,478
674,28147,30359.8,107.86,479
843,28325,30519.66,107.75,480
156,28007,30144.02,107.63,481
1067,41790,44801.09,107.21,482
366,39911,42789.77,107.21,482
217,31031,33257.29,107.17,484
980,24055,25776.66,107.16,485
450,43192,46249.26,107.08,486
350,58463,62464.88,106.85,487
1586,56640,60482.55,106.78,488
64,51465,54691.08,106.27,489
1891,34112,36252.5,106.27,489
1513,65736,69779.58,106.15,491
1896,40246,42707.24,106.12,492
547,31901,33849.48,106.11,493
1229,49350,52169.34,105.71,494
1988,109440,115599.78,105.63,495
261,59093,62415.7,105.62,496
80,21815,23023.29,105.54,497
1923,35119,37041.03,105.47,498
1413,31170,32803.73,105.24,499
2,27447,28871.09,105.19,500
938,50934,53533.76,105.1,501
895,31632,33148.03,104.79,502
150,71490,74648.39,104.42,503
1107,40516,42297.42,104.4,504
451,28951,30226.04,104.4,504
1236,25243,26323.72,104.28,506
462,50696,52851.35,104.25,507
170,36983,38454.91,103.98,508
148,38681,40209,103.95,509
655,30340,31536.27,103.94,510
104,37384,38842.53,103.9,511
1095,22918,23778.64,103.76,512
1137,33465,34587.22,103.35,513
642,34143,35277.62,103.32,514
1610,27967,28819.78,103.05,515
1397,36388,37494.18,103.04,516
346,48580,49902.74,102.72,517
543,30721,31553.31,102.71,518
1445,27939,28675.52,102.64,519
712,29130,29895.63,102.63,520
650,24215,24841.74,102.59,521
335,56467,57911.79,102.56,522
200,36528,37396.64,102.38,523
1987,33686,34463.97,102.31,524
1779,32125,32858.71,102.28,525
979,32678,33373.66,102.13,526
992,54881,55942.92,101.93,527
1240,31814,32404.21,101.86,528
477,49467,50303.62,101.69,529
1973,32520,33043.63,101.61,530
1422,36052,36587.46,101.49,531
1895,40848,41403.24,101.36,532
972,50177,50815.18,101.27,533
832,50329,50940.27,101.21,534
1247,44152,44652.91,101.13,535
198,31497,31809.35,100.99,536
1361,28714,28933.45,100.76,537
1675,49993,50362.03,100.74,538
1084,64262,64680.68,100.65,539
1543,105963,106497.2,100.5,540
597,65055,65336.37,100.43,541
1587,82019,82151.47,100.16,542
469,46945,46854.94,99.81,543
63,35418,35332.52,99.76,544
526,64481,64318.5,99.75,545
776,97455,96981.84,99.51,546
249,29835,29491.72,98.85,547
1844,37503,37016.68,98.7,548
1642,40470,39940.11,98.69,549
573,30011,29576.89,98.55,550
1898,50993,50124.15,98.3,551
1875,45202,44423.55,98.28,552
1511,48279,47443.83,98.27,553
1029,36589,35922.49,98.18,554
1470,22371,21942.56,98.08,555
44,38194,37418.65,97.97,556
1225,62837,61513.15,97.89,557
763,103126,100735.69,97.68,558
1810,31175,30444.84,97.66,559
24,38554,37605.46,97.54,560
332,37362,36397.96,97.42,561
898,19893,19344.32,97.24,562
1484,57732,56070.19,97.12,563
1305,38971,37838.13,97.09,564
762,37298,36208.42,97.08,565
274,48810,47305.57,96.92,566
1957,95945,92947.44,96.88,567
122,39221,37998.01,96.88,567
1150,63030,60975.37,96.74,569
73,53478,51686.18,96.65,570
1805,26613,25687.28,96.52,571
385,30434,29370.07,96.5,572
1279,62103,59914.48,96.48,573
1307,87030,83861.32,96.36,574
1849,41483,39895.58,96.17,575
320,35641,34244.78,96.08,576
851,31399,30150.75,96.02,577
719,50139,48108.92,95.95,578
1250,38499,36934.5,95.94,579
0,59613,57119.79,95.82,580
497,52380,50143.47,95.73,581
671,34032,32449.7,95.35,582
1283,63673,60597.03,95.17,583
1183,32820,31224.45,95.14,584
1788,41845,39764.98,95.03,585
1246,31008,29433.35,94.92,586
831,37316,35391.16,94.84,587
1076,37342,35409.91,94.83,588
1239,38081,36104.3,94.81,589
1752,38190,36103.22,94.54,590
1856,37467,35401.43,94.49,591
1088,34982,33009.76,94.36,592
900,32896,30882.47,93.88,593
1636,24598,23071.56,93.79,594
394,69604,65246.1,93.74,595
1210,34531,32354.25,93.7,596
1344,46843,43756.7,93.41,597
1638,57824,53964.43,93.33,598
180,26556,24714.02,93.06,599
1147,104692,96957.89,92.61,600
683,51039,47208.75,92.5,601
218,34190,31607.56,92.45,602
1526,34137,31472.12,92.19,603
106,29957,27611.34,92.17,604
467,44831,41272,92.06,605
1027,61646,56740.55,92.04,606
1928,55682,51179.37,91.91,607
676,65053,59749.27,91.85,608
1189,31582,28999.45,91.82,609
1764,31550,28953.54,91.77,610
1121,84365,77424.74,91.77,610
205,39882,36510.74,91.55,612
374,31177,28524.23,91.49,613
1181,51581,47174.72,91.46,614
1411,69007,63069.22,91.4,615
242,43560,39803.18,91.38,616
1170,40867,37327.29,91.34,617
211,28983,26471.13,91.33,618
1694,74753,68219.35,91.26,619
634,49079,44784.47,91.25,620
1756,57969,52798.28,91.08,621
1097,32343,29415.93,90.95,622
203,30305,27491.15,90.71,623
1006,44550,40389.18,90.66,624
798,49076,44372.24,90.42,625
595,29041,26256.81,90.41,626
1529,76305,68863.04,90.25,627
1525,38994,35168.59,90.19,628
1786,38611,34796.93,90.12,629
1164,109687,98700.93,89.98,630
1634,20577,18506.5,89.94,631
631,33811,30406.53,89.93,632
821,18015,16190.4,89.87,633
1771,51943,46657.74,89.82,634
126,26600,23890.3,89.81,635
944,119308,106931.95,89.63,636
153,27484,24570.87,89.4,637
1148,36711,32781.94,89.3,638
724,35142,31377.7,89.29,639
1208,33387,29807.07,89.28,640
1079,103294,92188.64,89.25,641
663,70554,62972.48,89.25,641
277,31739,28306.26,89.18,643
1809,73208,65206.2,89.07,644
1500,52904,47079.72,88.99,645
940,41800,37178.57,88.94,646
751,49677,44042.89,88.66,647
65,34517,30587.33,88.62,648
1478,44506,39410.67,88.55,649
1603,38812,34329.2,88.45,650
908,46256,40794.43,88.19,651
1996,44768,39477.42,88.18,652
637,77288,68114.63,88.13,653
827,30984,27261.34,87.99,654
1479,26631,23418.9,87.94,655
790,46361,40656.09,87.69,656
581,29962,26267.41,87.67,657
244,26802,23480.26,87.61,658
1859,38689,33876.49,87.56,659
1785,25861,22639.62,87.54,660
946,39733,34740.21,87.43,661
1918,42379,37044.58,87.41,662
1518,37785,33015.83,87.38,663
584,29195,25417.37,87.06,664
1135,68010,59184.49,87.02,665
621,27372,23737.93,86.72,666
1417,52680,45668.79,86.69,667
1211,38249,33132.24,86.62,668
225,40887,35405.53,86.59,669
164,37829,32696.16,86.43,670
1492,56635,48918.32,86.37,671
1874,38390,33141.68,86.33,672
395,49611,42826.96,86.33,672
1791,32716,28172.98,86.11,674
802,59872,51538.7,86.08,675
1971,41690,35861.8,86.02,676
990,27150,23345.47,85.99,677
747,28828,24733.85,85.8,678
361,39052,33444.23,85.64,679
542,29496,25254.61,85.62,680
1485,49756,42573.61,85.56,681
1193,51717,44192.24,85.45,682
970,44681,38176.8,85.44,683
876,49817,42537.52,85.39,684
816,36285,30953.18,85.31,685
1140,55351,47165.1,85.21,686
912,47395,40345.27,85.13,687
46,53996,45929.85,85.06,688
447,30977,26309.75,84.93,689
123,36315,30840.93,84.93,689
1676,50936,43231.76,84.87,691
11,67643,57358,84.8,692
235,48676,41261.91,84.77,693
1712,66999,56652.41,84.56,694
774,33395,28205,84.46,695
811,84694,71527.9,84.45,696
1840,44249,37347.76,84.4,697
398,37401,31532.37,84.31,698
1128,34606,29114.84,84.13,699
1728,38615,32483.29,84.12,700
855,22557,18940.06,83.97,701
1709,35519,29765.45,83.8,702
1173,51703,43313.61,83.77,703
577,33106,27709.49,83.7,704
264,44303,37053.23,83.64,705
1326,66489,55601.34,83.62,706
1519,40012,33380.46,83.43,707
1376,62019,51661.64,83.3,708
28,54273,45192.2,83.27,709
866,61904,51465.59,83.14,710
1816,34241,28464.4,83.13,711
1769,46031,38251.49,83.1,712
1562,25524,21176.94,82.97,713
546,51196,42149.59,82.33,714
1815,61991,50962.01,82.21,715
397,20424,16765.82,82.09,716
669,41141,33774.61,82.09,716
449,39796,32661.51,82.07,718
905,96901,79487.75,82.03,719
1435,92017,75373.99,81.91,720
1660,23123,18879.15,81.65,721
728,33076,26950.03,81.48,722
1263,36652,29856.25,81.46,723
1749,17657,14369.73,81.38,724
1763,38039,30866.27,81.14,725
888,33566,27209.6,81.06,726
604,70840,57408.72,81.04,727
1228,47482,38440.08,80.96,728
949,63684,51320.51,80.59,729
1940,26865,21589.36,80.36,730
331,29907,24020.98,80.32,731
178,49045,39298.68,80.13,732
1616,94260,75416.03,80.01,733
1371,49529,39357.07,79.46,734
743,32491,25781.89,79.35,735
752,64829,51381.89,79.26,736
1490,41839,33124.83,79.17,737
924,40392,31966.56,79.14,738
509,44534,35224.74,79.1,739
61,93406,73791.91,79,740
1070,51528,40703.04,78.99,741
677,67226,53058.98,78.93,742
414,112875,88992.49,78.84,743
3,27943,22009.02,78.76,744
1958,37346,29401.63,78.73,745
13,32378,25434.14,78.55,746
1967,61793,48522.82,78.52,747
246,82298,64554.06,78.44,748
216,33178,26019.96,78.43,749
1245,42900,33617.37,78.36,750
1766,20377,15968.19,78.36,750
1981,39303,30786.32,78.33,752
1783,37607,29453.5,78.32,753
1622,79271,62055.07,78.28,754
1432,69747,54519.72,78.17,755
1851,75682,59163.98,78.17,755
837,36092,28213.29,78.17,755
1723,36080,28200.75,78.16,758
1248,43386,33879.94,78.09,759
1571,51316,40039.92,78.03,760
293,42084,32701.72,77.71,761
657,33897,26339.26,77.7,762
1740,57532,44682.78,77.67,763
1782,39633,30778.04,77.66,764
1581,44334,34312.9,77.4,765
789,49788,38518.41,77.36,766
1074,32819,25386.33,77.35,767
380,37857,29269.61,77.32,768
4,76431,59096.36,77.32,768
360,46278,35751.1,77.25,770
783,29769,22938.32,77.05,771
1695,57027,43928.7,77.03,772
771,38661,29762.71,76.98,773
1692,162709,125254.28,76.98,773
1437,44807,34369.47,76.71,775
1640,34954,26804.57,76.69,776
162,66111,50672.39,76.65,777
107,26758,20465.41,76.48,778
1131,19682,15046.06,76.45,779
1615,48690,37198.55,76.4,780
100,48944,37344.55,76.3,781
1179,49570,37821.74,76.3,781
1069,45852,34923.66,76.17,783
1516,68827,52407.36,76.14,784
1959,52130,39672.23,76.1,785
1048,53878,40986.88,76.07,786
882,36743,27943.59,76.05,787
742,50753,38514.5,75.89,788
1606,51755,39243.26,75.83,789
301,52308,39627.47,75.76,790
619,53986,40882.89,75.73,791
1834,35565,26927.35,75.71,792
561,36853,27891.61,75.68,793
1678,58225,44017.07,75.6,794
1367,34255,25893.09,75.59,795
1030,44963,33976.09,75.56,796
1944,49378,37200.46,75.34,797
1510,50658,38162.41,75.33,798
1114,37115,27942.13,75.29,799
1742,50232,37806.85,75.26,800
1619,32086,24084.73,75.06,801
1458,35755,26822.59,75.02,802
1219,58105,43552.97,74.96,803
890,52181,39114.56,74.96,803
1091,53890,40386.38,74.94,805
1633,42927,32156.56,74.91,806
646,43634,32638.84,74.8,807
1546,40336,30105.51,74.64,808
1919,80493,59991.7,74.53,809
1897,104049,77535.42,74.52,810
359,57383,42756.93,74.51,811
1666,46954,34971.02,74.48,812
207,28553,21244.18,74.4,813
948,37119,27596.7,74.35,814
983,47993,35660.81,74.3,815
458,49068,36421.48,74.23,816
613,56562,41981.16,74.22,817
140,42120,31255.29,74.21,818
1682,48750,36163.77,74.18,819
1710,40029,29685.22,74.16,820
1514,36925,27313.9,73.97,821
1031,53762,39728.25,73.9,822
437,72670,53635.17,73.81,823
1882,59322,43754.81,73.76,824
1671,42886,31629.38,73.75,825
1262,27981,20569.52,73.51,826
1214,72470,53237.38,73.46,827
1975,38972,28607.65,73.41,828
939,34819,25561.9,73.41,828
1353,43294,31738.71,73.31,830
823,41496,30380,73.21,831
230,35501,25886.65,72.92,832
1,45360,33047.24,72.86,833
1861,66427,48319.16,72.74,834
848,68362,49675.17,72.66,835
822,34540,25086.43,72.63,836
400,39770,28817.31,72.46,837
415,33729,24441.58,72.46,837
605,47542,34406.19,72.37,839
917,40900,29576.11,72.31,840
744,44699,32313.01,72.29,841
393,32387,23333.47,72.05,842
468,47374,34114.78,72.01,843
1315,32576,23446.78,71.98,844
576,63502,45586.4,71.79,845
545,45707,32808.27,71.78,846
